guid,title,description,link
b'https://www.europeana.eu/item/2048087/ProvidedCHO_UCL_Museums_http___www_ucl_ac_uk_museums_objects_LDUCE_UC20740',b'amulets',b'AthenaPlus',b'https://www.europeana.eu/item/2048087/ProvidedCHO_UCL_Museums_http___www_ucl_ac_uk_museums_objects_LDUCE_UC20740'
b'https://www.europeana.eu/item/2048087/ProvidedCHO_University_of_Swansea__Egypt_Centre_EC6',"b'amulet, leaf'",b'AthenaPlus',b'https://www.europeana.eu/item/2048087/ProvidedCHO_University_of_Swansea__Egypt_Centre_EC6'
b'https://www.europeana.eu/item/2048087/ProvidedCHO_UCL_Museums_http___www_ucl_ac_uk_museums_objects_LDUCE_UC20838',b'amulets',b'AthenaPlus',b'https://www.europeana.eu/item/2048087/ProvidedCHO_UCL_Museums_http___www_ucl_ac_uk_museums_objects_LDUCE_UC20838'
b'https://www.europeana.eu/item/2048087/ProvidedCHO_UCL_Museums_http___www_ucl_ac_uk_museums_objects_LDUCE_UC42878',b'beads',b'AthenaPlus',b'https://www.europeana.eu/item/2048087/ProvidedCHO_UCL_Museums_http___www_ucl_ac_uk_museums_objects_LDUCE_UC42878'
b'https://www.europeana.eu/item/2048087/ProvidedCHO_UCL_Museums_http___www_ucl_ac_uk_museums_objects_LDUCE_UC20832',b'amulets',b'AthenaPlus',b'https://www.europeana.eu/item/2048087/ProvidedCHO_UCL_Museums_http___www_ucl_ac_uk_museums_objects_LDUCE_UC20832'
b'https://www.europeana.eu/item/2048087/ProvidedCHO_UCL_Museums_http___www_ucl_ac_uk_museums_objects_LDUCE_UC42937',b'beads',b'AthenaPlus',b'https://www.europeana.eu/item/2048087/ProvidedCHO_UCL_Museums_http___www_ucl_ac_uk_museums_objects_LDUCE_UC42937'
b'https://www.europeana.eu/item/2048087/ProvidedCHO_University_of_Swansea__Egypt_Centre_EC469',b'pendant',b'AthenaPlus',b'https://www.europeana.eu/item/2048087/ProvidedCHO_University_of_Swansea__Egypt_Centre_EC469'
b'https://www.europeana.eu/item/2048087/ProvidedCHO_UCL_Museums_http___www_ucl_ac_uk_museums_objects_LDUCE_UC43184',b'amulets',b'AthenaPlus',b'https://www.europeana.eu/item/2048087/ProvidedCHO_UCL_Museums_http___www_ucl_ac_uk_museums_objects_LDUCE_UC43184'
b'https://www.europeana.eu/item/2048087/ProvidedCHO_University_of_Swansea__Egypt_Centre_EC1368',"b'vessel, pottery'",b'AthenaPlus',b'https://www.europeana.eu/item/2048087/ProvidedCHO_University_of_Swansea__Egypt_Centre_EC1368'
b'https://www.europeana.eu/item/2048087/ProvidedCHO_UCL_Museums_http___www_ucl_ac_uk_museums_objects_LDUCE_UC37321',b'beads',b'AthenaPlus',b'https://www.europeana.eu/item/2048087/ProvidedCHO_UCL_Museums_http___www_ucl_ac_uk_museums_objects_LDUCE_UC37321'
b'https://www.europeana.eu/item/2022365/Bristol_20Museums_2C_20Galleries_20_26_20Archives_emu_ecatalogue_appliedart_126381',b'dish',b'CultureGrid',b'https://www.europeana.eu/item/2022365/Bristol_20Museums_2C_20Galleries_20_26_20Archives_emu_ecatalogue_appliedart_126381'
b'https://www.europeana.eu/item/2048087/ProvidedCHO_UCL_Museums_http___www_ucl_ac_uk_museums_objects_LDUCE_UC38890',b'beads',b'AthenaPlus',b'https://www.europeana.eu/item/2048087/ProvidedCHO_UCL_Museums_http___www_ucl_ac_uk_museums_objects_LDUCE_UC38890'
b'https://www.europeana.eu/item/2048087/ProvidedCHO_UCL_Museums_http___www_ucl_ac_uk_museums_objects_LDUCE_UC20742',b'beads',b'AthenaPlus',b'https://www.europeana.eu/item/2048087/ProvidedCHO_UCL_Museums_http___www_ucl_ac_uk_museums_objects_LDUCE_UC20742'
b'https://www.europeana.eu/item/2022362/_Royal_Museums_Greenwich__http___collections_rmg_co_uk_collections_objects_72863',"b'Cap badge, Blue Star Line'",b'CultureGrid',b'https://www.europeana.eu/item/2022362/_Royal_Museums_Greenwich__http___collections_rmg_co_uk_collections_objects_72863'
b'https://www.europeana.eu/item/2048087/ProvidedCHO_Jersey_Heritage_JERSM_2012_00040',b'Blue',b'AthenaPlus',b'https://www.europeana.eu/item/2048087/ProvidedCHO_Jersey_Heritage_JERSM_2012_00040'
b'https://www.europeana.eu/item/2064107/Museu_ProvidedCHO_Nottingham_City_Museums_and_Galleries_BLDIDCT031963',"b""scarf<'patka'/man's""",b'Museu',b'https://www.europeana.eu/item/2064107/Museu_ProvidedCHO_Nottingham_City_Museums_and_Galleries_BLDIDCT031963'
b'https://www.europeana.eu/item/2048087/ProvidedCHO_University_of_Swansea__Egypt_Centre_EC1369',"b'vessel, pottery'",b'AthenaPlus',b'https://www.europeana.eu/item/2048087/ProvidedCHO_University_of_Swansea__Egypt_Centre_EC1369'
b'https://www.europeana.eu/item/2048087/ProvidedCHO_University_of_Swansea__Egypt_Centre_EC1366',"b'vessel, pottery'",b'AthenaPlus',b'https://www.europeana.eu/item/2048087/ProvidedCHO_University_of_Swansea__Egypt_Centre_EC1366'
b'https://www.europeana.eu/item/2048087/ProvidedCHO_University_of_Swansea__Egypt_Centre_EC1364',"b'vessel, pottery'",b'AthenaPlus',b'https://www.europeana.eu/item/2048087/ProvidedCHO_University_of_Swansea__Egypt_Centre_EC1364'
b'https://www.europeana.eu/item/2048087/ProvidedCHO_University_of_Swansea__Egypt_Centre_EC1363',"b'vessel, pottery'",b'AthenaPlus',b'https://www.europeana.eu/item/2048087/ProvidedCHO_University_of_Swansea__Egypt_Centre_EC1363'
